,Date,Tweet
0,2020-12-15 18:20:20+00:00,b'Baru sempet nonton #startupep6 baru sampe 6 episode uda gencar ya Bun. Apalagi eps 5 nya waktu siangan Ama injee ikutan deg2an astaghfirullah'
1,2020-12-12 00:32:46+00:00,b'https://t.co/8o3AdKxABp'
2,2020-12-12 03:45:29+00:00,"b'weh chul san and yong san kelakar gila, suka betul tengok dorang berdua \xf0\x9f\xa4\xa3 #StartUpEp6'"
3,2020-12-12 03:29:06+00:00,b'boleh tahan susah juga nak start business ni. no wonder ramai kata boleh belajar banyak dari this drama #StartUpEp6'
4,2020-12-09 04:44:47+00:00,"b'buat yang udah nntn startup ep 16 kasih tau dong kim yong san itu munafik ga si? atau punya rencana jahat gt, soalnya aku liat akhir plottwist ep 6 ada orng misterius yg mau bales dendam\nthnkyou\xf0\x9f\xa6\x8b\xe2\x9c\xa8\n#startupep6 #StartUpEp16 #startup'"
5,2020-12-06 16:22:51+00:00,b'Part susu basi nguakak sampe njengking #StartUpEp6'
6,2020-12-06 03:30:19+00:00,b'Baru nonton #StartUpEp6 aja udah greget banget sama tingkahnya Han Ji-Pyeong\xf0\x9f\x98\x82'
7,2020-12-05 12:17:48+00:00,b'ini apa yh #StartUpEp6 https://t.co/lSscgiovFf'
8,2020-12-04 18:31:53+00:00,b'Lanjut nonton #startupep6'
9,2020-12-01 07:42:47+00:00,b'#StartUpEp6\n\nShooooookt https://t.co/mkeNz0Euld'
10,2020-11-30 13:25:22+00:00,"b""demi ap mewek lg dsni:(\nstrong dal-mi grandma:'((\n#startupep6 https://t.co/kXaWPFSeOV"""
11,2020-11-29 17:08:35+00:00,b'baru sampe #StartUpEp6\nChul San sampah banget sumpah \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\nmukanya aja ngeselin bgt dia tuh. pas di CLoY juga \xf0\x9f\x98\x92'
12,2020-11-28 03:17:56+00:00,b'Pengalaman Inspiratif Won In-jae Dalam Drama Start Up\n#StartUp #StartUpEp13 #StartUpEp12 #StartUpEP1 #WonInJae #SeoDalmi #NamDoSan #HanJiPyeongTeam #KangHanNa #baesuzy #SuzyBae #NamJooHyuk #SuzyStartUpOST #startupep6 #Indonesia #samsantech #sandbox \n https://t.co/9vSW8kcLFd'
13,2020-11-25 13:52:53+00:00,b'@wraitheIaIvez #StartUp #StartUpEp1 #StartUpEp2 #StartUpEo3 #StarrUpEp4 #StartUpEp5 #StartUpEp6 #StartUpEp7 #StartUpEp8 #StartUpE9 #StartUpEp10 #StartUpEp11 #StartUpEp12 #StartUpEp13 #HanJipyeong #seonho HHAHSHSHSSHAHW'
