,Date,Tweet
0,2020-12-14 01:31:20+00:00,"b'Semalem baru nonton #StartUpEp4, trus keinget outfit-nya Yeong Jun di WWWSK pas liat Ji Pyeong pake baju ini dan ternyata emg mirip. Gapenting sih, tp gemes aja liat cowo pake kemeja longgar yg bahannya jatoh trus dimasukin. Btw senyum sm ketawanya Ji Pyeong gada obat hiks! \xf0\x9f\xa4\xa7\xe2\x9d\xa4 https://t.co/5XOKnXuANY'"
1,2020-12-13 17:00:01+00:00,b'Next year could be decisive for the world \xf0\x9f\x8c\x8f. 2020 has taught us that we need to work together for a stronger response and show that we can build back better.\n\nJoin in. Be the change.'
2,2020-12-09 00:04:25+00:00,"b'""Hal biasa bagi seseorang bisa jadi hal luar biasa bagi orang lain"" Soe Dal Mi, Start-Up Ep.4\n\n#StartUp \n#StartUpEp4 \n#Quotes \n#koreandrama https://t.co/mw88dmjYYU'"
3,2020-12-08 15:52:29+00:00,"b'Dunia ini akan akan menjadi gurun pasir jika selalu cerah, harus turun hujan dan salju agar rumput dan juga jeruk manis seperti ini, bisa tumbuh - ayah namdosan -\n#StartUpEp4'"
4,2020-12-08 06:18:21+00:00,"b'Berada di fase ingin mengikuti mimpi, tapi mimpi sendiri sudah terlalu banyak yang mengikuti\n\n""Follow your dream"" katanya\n#startUpEp4'"
5,2020-12-06 15:05:39+00:00,"b'Pengen nanya sama Dosan, apa rasanya disukain sama cewe tapi gak bs jadi diri lo sendiri? #StartUpEp4 https://t.co/MiMa5cXwdj'"
6,2020-12-06 14:37:19+00:00,b'Nk tngok #StartUpEp4  tp rasa Xready sbb ep 16 org kata sedih\xf0\x9f\x98\xadaigooo...'
7,2020-11-30 06:46:05+00:00,b'#StartUpEp4\n\nAng hirap ng ganitong pakiramdam. https://t.co/Y3hbnZ141d'
8,2020-11-29 10:53:40+00:00,"b'Telat banget baru sempet liat sampe #StartUpEp4 sampe sini si masih di tim pak Han tapi ko dosan mulai keren\xf0\x9f\x98\xb6 , keseluruhan si kagum sama semua perannya punya kelebihan masing masing. Dan kerja keras dan pantang menyerahnya si yang paling keren.'"
9,2020-11-29 10:08:07+00:00,b'sa ae noh naq kicik modusnya biar bisa pegangan tangan \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\n#StartUpEp4'
